Date,Open,High,Low,Close,Adj Close,Volume
"Jun 10, 2024",199.24,200.84,198.44,199.61,199.61,6070800
"Jun 7, 2024",197.43,200.92,197.01,199.95,199.95,6964500
"Jun 6, 2024",197.26,198.02,195.33,196.91,196.91,7640300
"Jun 5, 2024",199.76,199.82,196.92,197.26,197.26,8351600
"Jun 4, 2024",200.16,201.98,198.28,199.16,199.16,6848300
"Jun 3, 2024",202.31,202.42,199.19,201.82,201.82,6444300
"May 31, 2024",199.30,203.30,198.35,202.63,202.63,14417900
"May 30, 2024",198.56,199.85,198.40,199.33,199.33,6829700
"May 29, 2024",198.00,198.99,196.89,198.11,198.11,6120000
"May 28, 2024",199.86,200.41,198.66,199.50,199.50,6910200
"May 24, 2024",197.75,200.76,197.56,200.71,200.71,7355400
"May 23, 2024",197.81,198.30,196.07,196.92,196.92,8069400
"May 22, 2024",199.00,200.94,197.69,198.31,198.31,9425300
"May 21, 2024",197.00,199.90,196.60,199.52,199.52,14420800
"May 20, 2024",204.39,205.88,195.40,195.58,195.58,17373300
"May 17, 2024",203.81,205.05,202.81,204.79,204.79,9260500
"May 16, 2024",202.22,204.48,201.99,202.47,202.47,8497900
"May 15, 2024",202.01,202.69,199.77,202.11,202.11,8370000
"May 14, 2024",199.00,201.58,198.16,201.51,201.51,8596200
"May 13, 2024",198.80,199.85,198.04,198.73,198.73,7049200
"May 10, 2024",198.54,199.34,198.27,198.77,198.77,7529800
"May 9, 2024",195.17,197.59,195.10,197.50,197.50,7977300
"May 8, 2024",191.00,196.65,191.00,195.65,195.65,9227600
"May 7, 2024",191.70,192.93,191.65,191.75,191.75,7688800
"May 6, 2024",191.73,192.20,189.82,192.00,192.00,7911100
"May 3, 2024",192.00,192.53,188.46,190.51,190.51,8922800
"May 2, 2024",193.07,193.50,189.52,191.66,191.66,6501700
"May 1, 2024",192.27,194.46,190.79,191.86,191.86,7445300
"Apr 30, 2024",192.81,194.99,191.64,191.74,191.74,8153700
"Apr 29, 2024",193.48,194.26,192.43,193.28,193.28,5387800
"Apr 26, 2024",193.57,194.87,193.06,193.49,193.49,6413700
"Apr 25, 2024",192.25,193.94,191.18,193.37,193.37,9802300
"Apr 24, 2024",190.53,193.23,190.17,193.08,193.08,6964900
"Apr 23, 2024",191.13,192.23,190.52,192.14,192.14,9144400
"Apr 22, 2024",185.99,190.13,185.98,189.41,189.41,11529700
"Apr 19, 2024",182.40,185.88,181.41,185.80,185.80,13380200
"Apr 18, 2024",181.10,183.36,179.97,181.25,181.25,9557700
"Apr 17, 2024",181.37,182.42,179.20,180.08,180.08,9017100
"Apr 16, 2024",182.90,183.16,179.65,180.80,180.80,16451800
"Apr 15, 2024",184.50,187.46,182.20,182.89,182.89,14766600
"Apr 12, 2024",188.32,188.93,182.54,182.79,182.79,31506200
"Apr 11, 2024",196.00,196.57,193.24,195.43,195.43,10137700
"Apr 10, 2024",195.55,197.07,194.18,195.47,195.47,7681400
"Apr 9, 2024",198.07,198.88,194.91,197.15,197.15,7358600
"Apr 8, 2024",197.62,198.98,197.62,198.48,198.48,8001000
"Apr 5, 2024",196.16,198.12,195.11,197.45,197.45,6531000
"Apr 4, 2024",1.15 Dividend,1.15 Dividend,1.15 Dividend,1.15 Dividend,1.15 Dividend,1.15 Dividend
"Apr 4, 2024",199.15,199.68,195.55,195.65,195.65,9243800
"Apr 3, 2024",199.04,199.56,197.70,198.30,197.15,9353400
"Apr 2, 2024",198.39,199.78,198.08,198.86,197.71,7014700
"Apr 1, 2024",199.99,200.94,198.57,198.94,197.79,7309000
"Mar 28, 2024",199.49,200.72,198.54,200.30,199.14,8628300
"Mar 27, 2024",196.50,199.60,196.38,199.52,198.36,8725800
"Mar 26, 2024",194.59,196.66,194.06,195.73,194.59,5961500
"Mar 25, 2024",196.60,196.94,194.36,194.82,193.69,8620000
"Mar 22, 2024",199.01,200.48,196.54,196.62,195.48,8105800
"Mar 21, 2024",196.52,199.43,196.33,199.06,197.91,11203800
"Mar 20, 2024",194.19,196.56,193.61,196.33,195.19,9367000
"Mar 19, 2024",192.71,193.93,192.38,193.79,192.67,8478700
"Mar 18, 2024",190.63,192.70,189.89,192.66,191.54,9013800
"Mar 15, 2024",186.48,190.94,186.48,190.30,189.20,17208100
"Mar 14, 2024",191.03,191.63,187.10,187.97,186.88,10310900
"Mar 13, 2024",190.36,191.73,189.84,191.38,190.27,7795500
"Mar 12, 2024",188.95,190.16,187.91,189.84,188.74,5708400
"Mar 11, 2024",187.28,188.44,186.22,188.29,187.20,5762600
"Mar 8, 2024",188.44,190.46,187.92,188.22,187.13,6166800
"Mar 7, 2024",189.91,190.50,186.63,187.87,186.78,7618300
"Mar 6, 2024",189.25,190.07,187.63,189.53,188.43,7572900
"Mar 5, 2024",186.36,189.30,186.36,188.55,187.46,6617800
"Mar 4, 2024",184.71,187.59,184.27,186.68,185.60,7063600
"Mar 1, 2024",185.70,186.44,185.10,185.29,184.22,6311800
"Feb 29, 2024",185.66,186.43,183.85,186.06,184.98,9643000
"Feb 28, 2024",183.43,185.20,182.96,184.38,183.31,6131600
"Feb 27, 2024",183.31,183.54,182.24,183.45,182.39,5717100
"Feb 26, 2024",183.75,184.46,182.48,183.36,182.30,7145400
"Feb 23, 2024",183.81,185.20,183.19,183.99,182.92,7105800
"Feb 22, 2024",181.82,183.42,181.24,183.07,182.01,9296500
"Feb 21, 2024",179.95,180.99,178.52,180.90,179.85,7027900
"Feb 20, 2024",179.19,180.46,178.41,179.73,178.69,9668000
"Feb 16, 2024",179.61,179.98,178.16,179.03,177.99,8148100
"Feb 15, 2024",176.15,180.21,176.15,179.87,178.83,8723400
"Feb 14, 2024",175.07,176.10,174.42,176.03,175.01,7056700
"Feb 13, 2024",175.32,176.23,172.62,174.26,173.25,8397600
"Feb 12, 2024",174.78,176.81,173.70,175.79,174.77,8539300
"Feb 9, 2024",175.00,175.10,173.67,175.01,174.00,6296700
"Feb 8, 2024",175.00,175.31,173.57,174.80,173.79,6060300
"Feb 7, 2024",175.69,175.87,173.96,175.43,174.41,7225500
"Feb 6, 2024",174.61,175.87,173.76,175.10,174.08,6764800
"Feb 5, 2024",173.86,175.09,172.92,174.50,173.49,7820200
"Feb 2, 2024",173.30,175.82,173.26,174.73,173.72,8607600
"Feb 1, 2024",173.64,174.84,171.43,173.73,172.72,9354800
"Jan 31, 2024",176.20,178.30,174.34,174.36,173.35,11521800
"Jan 30, 2024",172.83,176.76,172.83,176.27,175.25,10822100
"Jan 29, 2024",172.24,172.84,171.30,172.73,171.73,6971200
