Date,Open,High,Low,Close,Adj_Close,Volume
2024-06-10,199.24,200.84,198.44,199.61,199.61,6070800
2024-06-07,197.43,200.92,197.01,199.95,199.95,6964500
2024-06-06,197.26,198.02,195.33,196.91,196.91,7640300
2024-06-05,199.76,199.82,196.92,197.26,197.26,8351600
2024-06-04,200.16,201.98,198.28,199.16,199.16,6848300
2024-06-03,202.31,202.42,199.19,201.82,201.82,6444300
2024-05-31,199.30,203.30,198.35,202.63,202.63,14417900
2024-05-30,198.56,199.85,198.40,199.33,199.33,6829700
2024-05-29,198.00,198.99,196.89,198.11,198.11,6120000
2024-05-28,199.86,200.41,198.66,199.50,199.50,6910200
2024-05-24,197.75,200.76,197.56,200.71,200.71,7355400
2024-05-23,197.81,198.30,196.07,196.92,196.92,8069400
2024-05-22,199.00,200.94,197.69,198.31,198.31,9425300
2024-05-21,197.00,199.90,196.60,199.52,199.52,14420800
2024-05-20,204.39,205.88,195.40,195.58,195.58,17373300
2024-05-17,203.81,205.05,202.81,204.79,204.79,9260500
2024-05-16,202.22,204.48,201.99,202.47,202.47,8497900
2024-05-15,202.01,202.69,199.77,202.11,202.11,8370000
2024-05-14,199.00,201.58,198.16,201.51,201.51,8596200
2024-05-13,198.80,199.85,198.04,198.73,198.73,7049200
2024-05-10,198.54,199.34,198.27,198.77,198.77,7529800
2024-05-09,195.17,197.59,195.10,197.50,197.50,7977300
2024-05-08,191.00,196.65,191.00,195.65,195.65,9227600
2024-05-07,191.70,192.93,191.65,191.75,191.75,7688800
2024-05-06,191.73,192.20,189.82,192.00,192.00,7911100
2024-05-03,192.00,192.53,188.46,190.51,190.51,8922800
2024-05-02,193.07,193.50,189.52,191.66,191.66,6501700
2024-05-01,192.27,194.46,190.79,191.86,191.86,7445300
2024-04-30,192.81,194.99,191.64,191.74,191.74,8153700
2024-04-29,193.48,194.26,192.43,193.28,193.28,5387800
2024-04-26,193.57,194.87,193.06,193.49,193.49,6413700
2024-04-25,192.25,193.94,191.18,193.37,193.37,9802300
2024-04-24,190.53,193.23,190.17,193.08,193.08,6964900
2024-04-23,191.13,192.23,190.52,192.14,192.14,9144400
2024-04-22,185.99,190.13,185.98,189.41,189.41,11529700
2024-04-19,182.40,185.88,181.41,185.80,185.80,13380200
2024-04-18,181.10,183.36,179.97,181.25,181.25,9557700
2024-04-17,181.37,182.42,179.20,180.08,180.08,9017100
2024-04-16,182.90,183.16,179.65,180.80,180.80,16451800
2024-04-15,184.50,187.46,182.20,182.89,182.89,14766600
2024-04-12,188.32,188.93,182.54,182.79,182.79,31506200
2024-04-11,196.00,196.57,193.24,195.43,195.43,10137700
2024-04-10,195.55,197.07,194.18,195.47,195.47,7681400
2024-04-09,198.07,198.88,194.91,197.15,197.15,7358600
2024-04-08,197.62,198.98,197.62,198.48,198.48,8001000
2024-04-05,196.16,198.12,195.11,197.45,197.45,6531000
2024-04-04,199.15,199.68,195.55,195.65,195.65,9243800
2024-04-03,199.04,199.56,197.70,198.30,197.15,9353400
2024-04-02,198.39,199.78,198.08,198.86,197.71,7014700
2024-04-01,199.99,200.94,198.57,198.94,197.79,7309000
2024-03-28,199.49,200.72,198.54,200.30,199.14,8628300
2024-03-27,196.50,199.60,196.38,199.52,198.36,8725800
2024-03-26,194.59,196.66,194.06,195.73,194.59,5961500
2024-03-25,196.60,196.94,194.36,194.82,193.69,8620000
2024-03-22,199.01,200.48,196.54,196.62,195.48,8105800
2024-03-21,196.52,199.43,196.33,199.06,197.91,11203800
2024-03-20,194.19,196.56,193.61,196.33,195.19,9367000
2024-03-19,192.71,193.93,192.38,193.79,192.67,8478700
2024-03-18,190.63,192.70,189.89,192.66,191.54,9013800
2024-03-15,186.48,190.94,186.48,190.30,189.20,17208100
2024-03-14,191.03,191.63,187.10,187.97,186.88,10310900
2024-03-13,190.36,191.73,189.84,191.38,190.27,7795500
2024-03-12,188.95,190.16,187.91,189.84,188.74,5708400
2024-03-11,187.28,188.44,186.22,188.29,187.20,5762600
2024-03-08,188.44,190.46,187.92,188.22,187.13,6166800
2024-03-07,189.91,190.50,186.63,187.87,186.78,7618300
2024-03-06,189.25,190.07,187.63,189.53,188.43,7572900
