Date,Open,High,Low,Close,Adj Close,Volume
"Jun 10, 2024",96.62,96.83,95.41,96.39,96.39,4566000
"Jun 7, 2024",96.12,97.68,95.93,97.14,97.14,4018400
"Jun 6, 2024",96.48,97.45,96.26,96.85,96.85,4741200
"Jun 5, 2024",96.84,97.61,96.50,96.66,96.66,4499700
"Jun 4, 2024",96.25,97.55,95.67,96.58,96.58,5409600
"Jun 3, 2024",98.16,98.16,96.53,97.41,97.41,5671200
"May 31, 2024",97.33,97.96,96.40,97.84,97.84,7155500
"May 30, 2024",97.69,97.81,96.59,97.23,97.23,4548800
"May 29, 2024",97.37,97.70,96.47,97.27,97.27,4679600
"May 28, 2024",98.43,99.46,98.40,98.67,98.67,5541600
"May 24, 2024",99.45,99.91,98.81,98.97,98.97,3550500
"May 23, 2024",100.38,100.56,98.48,98.92,98.92,5594500
"May 22, 2024",101.28,102.52,100.17,100.74,100.74,5194300
"May 21, 2024",100.31,103.25,100.15,101.53,101.53,8337100
"May 20, 2024",100.05,100.89,99.38,100.33,100.33,5690200
"May 17, 2024",99.90,100.30,99.30,100.22,100.22,4690800
"May 16, 2024",100.15,100.41,99.45,99.58,99.58,4339300
"May 15, 2024",100.04,100.98,99.99,100.52,100.52,6938500
"May 14, 2024",99.00,100.18,98.77,99.38,99.38,6216600
"May 13, 2024",98.75,98.97,98.42,98.56,98.56,5379000
"May 10, 2024",98.74,98.99,97.63,98.28,98.28,6118400
"May 9, 2024",95.59,98.26,95.59,98.11,98.11,6766700
"May 8, 2024",95.43,96.05,95.10,95.64,95.64,4662600
"May 7, 2024",94.92,95.93,94.71,95.79,95.79,7418000
"May 6, 2024",94.56,94.91,93.70,94.79,94.79,5105100
"May 3, 2024",93.34,94.42,93.28,93.64,93.64,5043500
"May 2, 2024",92.54,92.92,91.60,92.65,92.65,4449200
"May 1, 2024",91.28,92.48,90.73,91.54,91.54,4713600
"Apr 30, 2024",91.60,91.83,90.55,90.84,90.84,5860000
"Apr 29, 2024",0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend
"Apr 29, 2024",91.33,92.81,91.33,92.11,92.11,4416100
"Apr 26, 2024",92.50,93.31,92.40,92.83,91.98,4606100
"Apr 25, 2024",93.00,93.65,91.65,92.56,91.71,6770600
"Apr 24, 2024",93.11,94.07,93.03,93.85,92.99,5100900
"Apr 23, 2024",92.16,94.05,92.16,93.76,92.90,6393900
"Apr 22, 2024",91.11,92.66,90.71,92.09,91.25,7294400
"Apr 19, 2024",90.36,91.62,90.36,90.66,89.83,8134700
"Apr 18, 2024",90.66,91.11,89.74,90.26,89.43,6752000
"Apr 17, 2024",90.13,91.44,89.67,90.08,89.26,9544600
"Apr 16, 2024",90.71,91.10,88.00,89.14,88.32,18291600
"Apr 15, 2024",87.80,89.13,85.49,86.99,86.19,9553900
"Apr 12, 2024",85.80,86.81,85.12,86.19,85.40,12789000
"Apr 11, 2024",91.72,91.80,85.01,86.84,86.04,24631800
"Apr 10, 2024",92.27,92.89,91.18,91.65,90.81,5994200
"Apr 9, 2024",93.61,94.14,92.83,94.08,93.22,4952400
"Apr 8, 2024",93.00,93.40,92.20,93.21,92.36,4601900
"Apr 5, 2024",92.25,93.29,91.61,92.47,91.62,4654800
"Apr 4, 2024",94.20,94.74,91.86,92.28,91.44,5466100
"Apr 3, 2024",92.95,94.30,92.75,93.00,92.15,4821100
"Apr 2, 2024",92.90,93.77,92.54,92.71,91.86,5245400
"Apr 1, 2024",94.16,94.44,93.17,93.53,92.67,3416000
"Mar 28, 2024",93.75,94.73,93.45,94.16,93.30,6707700
"Mar 27, 2024",92.03,93.54,91.91,93.50,92.64,6394500
"Mar 26, 2024",91.42,91.91,90.94,91.28,90.44,4211900
"Mar 25, 2024",91.77,92.55,90.99,91.14,90.31,3670400
"Mar 22, 2024",93.52,93.86,91.74,91.95,91.11,5907200
"Mar 21, 2024",91.96,94.36,91.96,93.40,92.54,13659900
"Mar 20, 2024",88.05,91.48,87.91,91.35,90.51,10811700
"Mar 19, 2024",88.00,89.09,87.86,88.42,87.61,8546400
"Mar 18, 2024",88.36,88.70,87.70,87.96,87.15,5960000
"Mar 15, 2024",88.48,89.35,88.17,88.38,87.57,20361800
"Mar 14, 2024",89.00,89.40,88.26,89.10,88.28,9235300
"Mar 13, 2024",87.45,90.24,87.25,89.35,88.53,10345800
"Mar 12, 2024",87.24,87.76,86.60,87.05,86.25,5110900
"Mar 11, 2024",86.82,87.25,85.84,86.94,86.14,4737200
"Mar 8, 2024",86.62,88.32,86.42,87.04,86.24,9686500
"Mar 7, 2024",86.08,87.12,85.64,86.14,85.35,9145700
"Mar 6, 2024",86.77,87.95,84.43,85.66,84.88,25614600
"Mar 5, 2024",89.19,91.14,88.62,89.13,88.31,13883600
"Mar 4, 2024",87.88,91.24,87.55,90.04,89.22,19876000
"Mar 1, 2024",86.22,86.79,85.11,86.48,85.69,5522300
"Feb 29, 2024",86.49,86.64,85.35,86.04,85.25,7657100
"Feb 28, 2024",85.43,86.09,85.28,86.05,85.26,5624100
"Feb 27, 2024",85.97,86.45,85.12,85.49,84.71,8066700
"Feb 26, 2024",86.50,87.34,85.56,85.67,84.89,5608100
"Feb 23, 2024",86.07,87.25,85.96,86.55,85.76,5810100
"Feb 22, 2024",85.95,86.74,85.60,85.85,85.06,6782100
"Feb 21, 2024",85.01,85.48,84.53,85.46,84.68,6444900
"Feb 20, 2024",85.94,86.49,85.10,85.35,84.57,6626400
"Feb 16, 2024",85.52,86.79,85.07,86.50,85.71,9666700
"Feb 15, 2024",84.45,86.23,84.41,85.67,84.89,7993500
"Feb 14, 2024",84.54,84.96,83.69,84.00,83.23,5973700
"Feb 13, 2024",85.86,85.86,83.09,83.97,83.20,11339400
"Feb 12, 2024",85.86,87.64,85.64,86.87,86.07,7888000
"Feb 9, 2024",85.69,86.03,85.32,85.89,85.10,5664500
"Feb 8, 2024",85.68,86.23,85.16,85.65,84.87,6218200
"Feb 7, 2024",86.26,86.39,85.27,86.00,85.21,4952200
"Feb 6, 2024",85.62,86.55,85.62,86.10,85.31,7335500
"Feb 5, 2024",86.58,86.58,85.09,85.89,85.10,7788700
"Feb 2, 2024",86.47,87.67,86.00,87.27,86.47,7728600
"Feb 1, 2024",87.19,88.17,85.64,86.82,86.03,8365000
"Jan 31, 2024",87.71,88.75,87.23,87.24,86.44,8414700
"Jan 30, 2024",0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend
"Jan 30, 2024",86.98,88.07,86.77,87.62,86.82,6569300
"Jan 29, 2024",87.40,87.95,85.72,87.62,85.98,7440300
"Jan 26, 2024",87.88,88.50,87.65,87.73,86.08,6384400
"Jan 25, 2024",88.14,88.42,87.33,88.02,86.37,8792400
"Jan 24, 2024",87.32,88.30,87.20,87.57,85.93,12480900
"Jan 23, 2024",85.67,86.85,85.19,86.74,85.11,8555700
"Jan 22, 2024",85.46,86.77,85.44,85.73,84.12,11626500
"Jan 19, 2024",83.91,85.59,83.20,85.34,83.74,14770500
"Jan 18, 2024",84.83,84.98,83.28,83.90,82.33,15016400
"Jan 17, 2024",84.85,85.14,83.90,84.41,82.83,17198500
"Jan 16, 2024",86.74,88.16,84.80,85.97,84.36,20369000
"Jan 12, 2024",91.28,91.90,89.43,89.70,88.02,8301000
"Jan 11, 2024",90.95,90.95,89.54,90.51,88.81,9400700
"Jan 10, 2024",91.53,91.97,91.29,91.48,89.76,6929200
"Jan 9, 2024",92.75,92.84,91.66,92.06,90.33,7594100
"Jan 8, 2024",93.21,93.83,92.28,93.51,91.75,6738400
"Jan 5, 2024",92.21,93.93,92.06,93.24,91.49,6027200
"Jan 4, 2024",92.15,93.14,91.66,92.15,90.42,8735600
"Jan 3, 2024",93.20,93.20,91.27,91.91,90.18,7487900
"Jan 2, 2024",92.66,94.15,92.27,93.90,92.14,6132200
"Dec 29, 2023",93.49,93.77,93.06,93.25,91.50,4772100
"Dec 28, 2023",93.31,93.95,93.24,93.64,91.88,4089500
"Dec 27, 2023",92.69,93.69,92.40,93.66,91.90,4073200
"Dec 26, 2023",92.61,93.02,92.37,92.84,91.10,2726200
"Dec 22, 2023",92.90,93.66,92.23,92.41,90.68,5800800
"Dec 21, 2023",92.14,92.66,91.64,92.63,90.89,7748000
"Dec 20, 2023",91.46,92.31,90.93,91.14,89.43,10467000
"Dec 19, 2023",90.92,92.36,90.70,91.92,90.19,8114900
"Dec 18, 2023",91.66,91.67,90.61,90.76,89.06,9145500
"Dec 15, 2023",91.00,91.84,90.26,91.58,89.86,16905100
"Dec 14, 2023",87.23,92.00,87.21,91.04,89.33,19849500
"Dec 13, 2023",83.47,86.11,83.30,85.63,84.02,10144600
"Dec 12, 2023",82.94,83.66,82.57,83.60,82.03,7395300
"Dec 11, 2023",82.37,82.84,81.96,82.82,81.27,6378100
"Dec 8, 2023",80.28,82.66,80.15,82.28,80.74,10342300
"Dec 7, 2023",79.76,80.57,79.62,80.35,78.84,5430400
"Dec 6, 2023",80.78,81.76,79.33,79.41,77.92,7321800
"Dec 5, 2023",80.68,80.84,79.59,80.17,78.67,6103200
"Dec 4, 2023",80.15,81.48,80.06,81.21,79.69,6713800
"Dec 1, 2023",79.08,80.98,78.74,80.89,79.37,9615800
"Nov 30, 2023",78.77,79.48,78.21,79.34,77.85,8480500
"Nov 29, 2023",77.48,79.53,77.34,78.55,77.08,7420700
"Nov 28, 2023",77.36,77.45,76.33,76.88,75.44,9197900
"Nov 27, 2023",78.27,78.35,77.59,77.95,76.49,5237800
"Nov 24, 2023",78.26,78.91,78.05,78.65,77.17,2398000
"Nov 22, 2023",78.79,78.87,78.21,78.49,77.02,4265400
"Nov 21, 2023",79.07,79.34,78.22,78.47,77.00,7394800
"Nov 20, 2023",80.03,80.20,79.34,79.70,78.20,7644600
"Nov 17, 2023",80.33,80.44,79.94,80.28,78.77,6080700
"Nov 16, 2023",79.98,80.28,79.04,79.66,78.16,6757600
"Nov 15, 2023",78.57,80.04,78.50,79.68,78.18,9841600
"Nov 14, 2023",76.68,78.96,76.67,78.31,76.84,12287700
"Nov 13, 2023",74.75,75.52,74.55,75.04,73.63,4868400
"Nov 10, 2023",74.66,75.39,74.05,75.33,73.92,8924000
"Nov 9, 2023",75.68,76.07,73.96,74.19,72.80,9497200
"Nov 8, 2023",75.45,76.19,75.06,75.97,74.54,8075200
"Nov 7, 2023",75.86,76.17,74.93,75.51,74.09,7657700
"Nov 6, 2023",76.68,76.76,75.36,75.92,74.50,8140300
"Nov 3, 2023",74.59,76.68,74.54,76.26,74.83,14949500
"Nov 2, 2023",71.68,73.53,71.65,73.46,72.08,11638000
"Nov 1, 2023",71.17,71.91,70.70,70.95,69.62,9429000
"Oct 31, 2023",70.77,71.02,70.27,70.82,69.49,8949000
"Oct 30, 2023",0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend
"Oct 30, 2023",70.05,70.89,69.42,70.59,69.27,9769600
"Oct 27, 2023",71.91,72.01,70.19,70.40,68.24,11099100
"Oct 26, 2023",71.47,72.69,71.40,72.07,69.86,10903200
"Oct 25, 2023",71.25,71.90,71.13,71.40,69.21,8461700
"Oct 24, 2023",71.75,72.10,71.08,71.56,69.37,9265500
"Oct 23, 2023",72.73,72.87,71.24,71.70,69.50,12847100
"Oct 20, 2023",73.12,74.00,72.35,73.13,70.89,11269900
"Oct 19, 2023",74.87,76.46,72.89,72.92,70.69,17486100
"Oct 18, 2023",76.43,77.07,73.40,74.88,72.59,34732300
"Oct 17, 2023",77.99,80.63,77.98,80.33,77.87,12324800
"Oct 16, 2023",78.79,79.18,77.87,78.73,76.32,7901500
"Oct 13, 2023",78.20,79.23,77.34,77.79,75.41,6442800
"Oct 12, 2023",78.87,78.87,77.29,77.81,75.43,11654600
"Oct 11, 2023",79.91,80.21,78.71,78.90,76.48,8928700
"Oct 10, 2023",80.25,81.11,80.02,80.13,77.68,6245400
"Oct 9, 2023",79.60,80.08,78.93,79.91,77.46,5125000
"Oct 6, 2023",78.72,80.79,78.40,80.33,77.87,6305600
"Oct 5, 2023",78.48,79.54,78.02,79.15,76.73,5589300
"Oct 4, 2023",78.10,79.29,77.61,79.09,76.67,6848700
"Oct 3, 2023",79.58,79.84,77.83,78.02,75.63,7526800
"Oct 2, 2023",81.10,81.47,79.90,80.41,77.95,6722200
"Sep 29, 2023",83.01,83.09,81.03,81.67,79.17,6830500
"Sep 28, 2023",81.48,82.55,81.45,82.19,79.67,5665400
"Sep 27, 2023",82.41,82.61,81.09,81.65,79.15,5708200
"Sep 26, 2023",82.08,82.77,81.72,82.17,79.65,5557000
"Sep 25, 2023",82.63,83.28,82.30,83.03,80.49,4748800
"Sep 22, 2023",85.23,85.23,83.01,83.29,80.74,7420600
"Sep 21, 2023",86.34,86.51,84.83,84.88,82.28,6933900
"Sep 20, 2023",88.83,89.15,87.06,87.14,84.47,5268200
"Sep 19, 2023",88.78,89.47,87.94,88.51,85.80,5769000
"Sep 18, 2023",88.57,89.05,87.55,88.71,85.99,5501900
"Sep 15, 2023",88.19,88.73,87.94,88.41,85.70,17598400
"Sep 14, 2023",88.08,89.11,87.92,89.07,86.34,8109600
"Sep 13, 2023",86.15,87.80,86.15,87.25,84.58,10617400
"Sep 12, 2023",83.34,86.53,83.23,85.55,82.93,8942600
"Sep 11, 2023",85.38,85.67,83.35,83.51,80.95,7780900
"Sep 8, 2023",84.15,84.95,83.66,84.92,82.32,6127600
"Sep 7, 2023",83.99,84.87,83.78,83.84,81.27,5504200
"Sep 6, 2023",84.28,84.75,83.35,84.16,81.58,5384000
"Sep 5, 2023",85.84,86.27,84.81,84.84,82.24,4919400
"Sep 1, 2023",86.00,86.45,85.29,85.75,83.12,4981800
"Aug 31, 2023",85.67,85.67,84.76,85.15,82.54,5581200
"Aug 30, 2023",85.62,86.00,85.03,85.26,82.65,5051800
"Aug 29, 2023",84.41,85.59,84.32,85.55,82.93,6212300
"Aug 28, 2023",83.80,84.87,83.77,84.38,81.80,6439700
"Aug 25, 2023",83.69,84.15,82.74,83.22,80.67,5461400
"Aug 24, 2023",83.17,84.75,83.10,83.44,80.89,5023000
"Aug 23, 2023",83.00,83.72,82.88,83.39,80.84,5878600
"Aug 22, 2023",84.71,84.77,82.84,82.98,80.44,6003300
"Aug 21, 2023",85.02,85.31,83.66,84.25,81.67,5385300
"Aug 18, 2023",84.96,86.30,84.71,84.89,82.29,6648700
"Aug 17, 2023",86.60,86.90,85.20,85.79,83.16,7611200
"Aug 16, 2023",85.74,86.79,85.59,85.99,83.36,5746300
"Aug 15, 2023",86.41,86.47,85.72,86.16,83.52,9308700
"Aug 14, 2023",86.96,87.40,86.52,87.33,84.66,3637500
"Aug 11, 2023",87.06,88.20,87.02,87.70,85.01,3922300
"Aug 10, 2023",87.91,88.93,87.32,87.64,84.96,4250100
"Aug 9, 2023",88.47,89.01,87.47,87.56,84.88,5200500
"Aug 8, 2023",87.85,88.52,86.26,88.47,85.76,6921200
"Aug 7, 2023",89.45,89.71,88.98,89.08,86.35,4663300
"Aug 4, 2023",89.35,90.05,88.52,88.79,86.07,6191700
"Aug 3, 2023",88.84,89.52,88.51,89.14,86.41,5137700
"Aug 2, 2023",89.52,90.14,88.79,89.32,86.59,6407400
"Aug 1, 2023",91.20,91.43,90.63,90.94,88.16,4468500
"Jul 31, 2023",91.90,92.20,91.04,91.56,88.76,5242900
"Jul 28, 2023",0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend
"Jul 28, 2023",92.46,92.60,91.09,91.57,88.77,5798400
"Jul 27, 2023",93.65,94.71,92.55,92.75,89.09,8427800
"Jul 26, 2023",94.40,95.15,93.29,93.54,89.85,7201100
"Jul 25, 2023",94.70,95.57,94.41,94.42,90.69,7760100
"Jul 24, 2023",94.01,95.40,93.70,94.67,90.93,7259800
"Jul 21, 2023",94.27,94.40,93.06,94.01,90.30,6297900
"Jul 20, 2023",93.11,94.14,92.86,93.80,90.09,9541800
"Jul 19, 2023",91.43,93.86,91.33,93.16,89.48,12004300
"Jul 18, 2023",87.54,92.56,87.10,91.94,88.31,21633900
"Jul 17, 2023",85.68,86.90,85.68,86.37,82.96,7911800
"Jul 14, 2023",87.41,87.42,85.56,85.78,82.39,7731300
"Jul 13, 2023",86.23,86.64,85.74,86.21,82.80,6026500
"Jul 12, 2023",86.68,87.71,85.60,85.77,82.38,8602300
"Jul 11, 2023",83.90,85.43,83.62,84.96,81.60,11057700
"Jul 10, 2023",83.42,84.39,83.18,83.40,80.11,6141200
"Jul 7, 2023",83.01,84.04,82.90,83.36,80.07,8217300
"Jul 6, 2023",84.85,84.92,83.02,83.33,80.04,8546800
"Jul 5, 2023",85.95,86.28,85.35,85.92,82.53,6734300
"Jul 3, 2023",86.34,87.66,85.84,86.41,83.00,5839300
"Jun 30, 2023",86.02,86.49,85.40,85.40,82.03,6188200
"Jun 29, 2023",85.34,86.06,84.63,85.24,81.87,9066500
"Jun 28, 2023",84.54,84.56,83.64,83.99,80.67,4781600
"Jun 27, 2023",83.91,84.87,83.38,84.43,81.10,6639900
"Jun 26, 2023",83.56,84.24,83.25,83.59,80.29,6377400
"Jun 23, 2023",83.26,83.92,82.60,83.58,80.28,10017300
"Jun 22, 2023",85.52,85.63,84.36,84.50,81.16,6214600
"Jun 21, 2023",86.56,87.28,86.30,86.34,82.93,6343100
"Jun 20, 2023",87.10,87.21,86.25,86.73,83.30,7382000
"Jun 16, 2023",89.62,89.65,87.94,88.09,84.61,13144000
"Jun 15, 2023",87.63,89.33,87.40,89.05,85.53,8603200
"Jun 14, 2023",88.60,89.49,87.64,87.98,84.50,5772500
"Jun 13, 2023",87.84,88.98,87.59,88.28,84.79,6089200
"Jun 12, 2023",86.20,87.64,86.01,87.44,83.99,7053500
"Jun 9, 2023",86.74,86.96,85.66,86.21,82.80,6282600
"Jun 8, 2023",86.40,86.91,85.18,86.31,82.90,6795900
"Jun 7, 2023",86.05,87.01,85.78,86.50,83.08,7410800
"Jun 6, 2023",83.60,86.23,83.27,85.86,82.47,6903900
"Jun 5, 2023",84.40,84.73,83.22,83.74,80.43,6631900
"Jun 2, 2023",82.94,84.68,82.94,84.35,81.02,6218100
"Jun 1, 2023",82.58,82.84,81.47,82.07,78.83,6857500
"May 31, 2023",83.06,83.28,81.13,81.76,78.53,9559200
"May 30, 2023",84.16,84.57,83.11,83.42,80.12,5876800
"May 26, 2023",82.97,84.64,82.83,83.90,80.59,7411600
"May 25, 2023",81.21,83.13,80.98,83.00,79.72,6962700
"May 24, 2023",82.01,82.23,80.74,81.22,78.01,6827800
"May 23, 2023",82.00,83.57,81.89,82.64,79.38,5521200
"May 22, 2023",82.25,83.16,81.91,82.27,79.02,5520000
"May 19, 2023",83.79,84.42,82.23,82.24,78.99,11177500
"May 18, 2023",83.70,84.55,83.02,84.49,81.15,5367700
"May 17, 2023",82.54,83.92,82.50,83.91,80.60,8216700
"May 16, 2023",82.72,83.07,81.81,81.86,78.63,6862900
"May 15, 2023",82.67,83.38,82.25,82.95,79.67,5032100
"May 12, 2023",83.00,83.27,81.67,82.39,79.14,5208200
"May 11, 2023",82.78,82.82,81.62,82.63,79.37,6717800
"May 10, 2023",85.07,85.22,82.80,83.72,80.41,4884900
"May 9, 2023",84.00,84.91,83.70,84.37,81.04,4381400
"May 8, 2023",85.48,85.57,84.32,84.43,81.10,5825300
"May 5, 2023",83.79,85.02,83.62,84.88,81.53,8286500
"May 4, 2023",84.17,84.45,81.61,82.61,79.35,10359200
"May 3, 2023",86.40,87.18,84.57,84.75,81.40,6546500
"May 2, 2023",87.57,87.57,85.33,86.29,82.88,6319100
"May 1, 2023",90.19,90.52,87.83,87.93,84.46,7745400
"Apr 28, 2023",0.78 Dividend,0.78 Dividend,0.78 Dividend,0.78 Dividend,0.78 Dividend,0.78 Dividend
"Apr 28, 2023",89.45,90.33,89.16,89.97,86.42,6374500
"Apr 27, 2023",89.41,90.96,88.89,90.26,85.95,6375800
"Apr 26, 2023",88.15,89.79,87.91,88.44,84.22,6429100
"Apr 25, 2023",89.64,89.83,87.89,88.06,83.86,5806700
"Apr 24, 2023",91.23,91.48,89.55,90.20,85.89,5004400
"Apr 21, 2023",90.48,91.34,89.17,91.12,86.77,6531000
"Apr 20, 2023",89.85,91.82,89.72,90.43,86.11,6776000
"Apr 19, 2023",87.14,90.70,86.50,90.45,86.13,13886200
"Apr 18, 2023",89.13,90.54,88.74,89.85,85.56,10227600
"Apr 17, 2023",86.66,89.31,86.27,89.29,85.03,8876900
"Apr 14, 2023",86.43,87.40,86.00,86.71,82.57,7865900
"Apr 13, 2023",85.39,85.78,84.44,85.69,81.60,5086000
"Apr 12, 2023",85.51,86.02,84.79,85.47,81.39,4641800
"Apr 11, 2023",84.29,85.76,84.13,85.09,81.03,5582100
"Apr 10, 2023",83.95,84.36,83.43,84.00,79.99,6185800
"Apr 6, 2023",83.90,84.40,83.21,84.19,80.17,3877800
"Apr 5, 2023",83.83,84.53,83.20,83.82,79.82,6045400
"Apr 4, 2023",87.00,87.20,84.26,84.82,80.77,6222800
"Apr 3, 2023",87.95,88.32,86.67,87.16,83.00,7728400
"Mar 31, 2023",86.80,87.87,86.17,87.80,83.61,6142400
"Mar 30, 2023",87.26,87.61,85.46,86.11,82.00,4113700
"Mar 29, 2023",85.93,86.35,85.35,86.24,82.12,4873500
"Mar 28, 2023",84.56,85.17,83.93,84.88,80.83,5209900
"Mar 27, 2023",86.06,86.32,84.36,84.64,80.60,6626900
"Mar 24, 2023",84.51,84.51,81.72,83.95,79.94,10978700
"Mar 23, 2023",87.95,88.80,85.24,85.84,81.74,9373000
"Mar 22, 2023",88.75,90.08,87.46,87.55,83.37,7299300
"Mar 21, 2023",88.23,89.18,88.00,88.76,84.52,8905600
"Mar 20, 2023",84.60,86.31,84.37,85.64,81.55,8649800
"Mar 17, 2023",86.49,86.50,83.70,84.18,80.16,19935800
"Mar 16, 2023",84.55,88.28,83.28,87.01,82.86,15342400
"Mar 15, 2023",86.93,87.02,83.68,85.39,81.31,14814000
"Mar 14, 2023",92.41,92.41,89.12,89.97,85.67,11089300
"Mar 13, 2023",88.54,90.18,86.65,87.99,83.79,15175400
"Mar 10, 2023",91.77,93.01,89.23,90.05,85.75,16206500
"Mar 9, 2023",95.36,95.95,91.77,92.20,87.80,9162400
"Mar 8, 2023",95.64,96.50,95.36,95.90,91.32,4121300
"Mar 7, 2023",98.00,98.26,95.97,96.06,91.47,5461400
"Mar 6, 2023",98.44,99.20,98.10,98.38,93.68,5215200
"Mar 3, 2023",96.55,98.44,96.45,98.33,93.64,6504000
"Mar 2, 2023",95.45,96.37,94.48,96.08,91.49,4632400
"Mar 1, 2023",95.96,96.76,95.26,96.19,91.60,5429600
"Feb 28, 2023",97.12,97.29,96.26,96.50,91.89,6745300
"Feb 27, 2023",98.41,98.48,96.58,96.70,92.08,5645000
"Feb 24, 2023",97.15,97.98,96.61,97.70,93.04,5414200
"Feb 23, 2023",97.88,98.42,96.70,97.94,93.26,5916100
"Feb 22, 2023",97.37,98.07,96.62,97.27,92.63,5072400
"Feb 21, 2023",98.46,99.00,97.18,97.62,92.96,6556000
"Feb 17, 2023",98.90,100.02,98.30,99.51,94.76,8133000
"Feb 16, 2023",99.78,100.24,98.81,99.57,94.82,6051800
"Feb 15, 2023",99.51,100.96,99.50,100.83,96.02,6464200
"Feb 14, 2023",99.05,100.99,98.97,100.56,95.76,7679500
"Feb 13, 2023",98.46,99.76,98.16,99.43,94.68,4910300
"Feb 10, 2023",97.59,98.60,97.56,98.44,93.74,5224900
"Feb 9, 2023",99.22,99.80,97.73,98.05,93.37,4983800
"Feb 8, 2023",98.32,99.94,98.06,98.96,94.23,4705200
"Feb 7, 2023",98.77,99.82,98.05,99.22,94.48,5060700
"Feb 6, 2023",98.45,99.20,98.07,98.90,94.18,4737700
"Feb 3, 2023",98.24,100.18,98.07,99.43,94.68,6948600
"Feb 2, 2023",98.88,100.27,97.96,99.21,94.47,11118900
"Feb 1, 2023",96.95,99.06,96.93,98.19,93.50,9815200
"Jan 31, 2023",96.29,97.37,95.76,97.33,92.68,7182100
"Jan 30, 2023",0.78 Dividend,0.78 Dividend,0.78 Dividend,0.78 Dividend,0.78 Dividend,0.78 Dividend
"Jan 30, 2023",95.03,96.61,94.92,95.96,91.38,5870100
"Jan 27, 2023",96.41,97.43,95.71,96.86,91.50,7990800
"Jan 26, 2023",96.22,96.54,95.31,96.50,91.16,6085100
"Jan 25, 2023",94.88,95.93,94.44,95.64,90.34,5891000
"Jan 24, 2023",96.28,96.81,92.92,95.51,90.22,4801600
"Jan 23, 2023",95.87,97.22,95.49,97.13,91.75,8735300
"Jan 20, 2023",94.13,96.28,93.88,96.24,90.91,10785000
"Jan 19, 2023",94.61,94.98,92.94,94.15,88.94,13457100
"Jan 18, 2023",96.80,97.95,96.34,96.58,91.23,14134800
"Jan 17, 2023",95.90,99.10,95.00,97.08,91.71,27914300
"Jan 13, 2023",89.03,91.98,88.27,91.66,86.59,8414600
"Jan 12, 2023",90.02,91.81,89.35,90.53,85.52,7895600
"Jan 11, 2023",89.37,89.81,88.85,89.43,84.48,6122600
"Jan 10, 2023",87.55,88.93,86.84,88.92,84.00,4536600
"Jan 9, 2023",88.25,88.91,87.41,87.64,82.79,5039700
"Jan 6, 2023",86.44,87.96,85.71,87.56,82.71,5710900
"Jan 5, 2023",85.90,86.17,84.83,85.92,81.16,5339900
"Jan 4, 2023",85.55,87.35,85.18,86.65,81.85,7726800
