Date,Open,High,Low,Close,Adj_Close,Volume
2024-06-10,96.62,96.83,95.41,96.39,96.39,4566000
2024-06-07,96.12,97.68,95.93,97.14,97.14,4018400
2024-06-06,96.48,97.45,96.26,96.85,96.85,4741200
2024-06-05,96.84,97.61,96.50,96.66,96.66,4499700
2024-06-04,96.25,97.55,95.67,96.58,96.58,5409600
2024-06-03,98.16,98.16,96.53,97.41,97.41,5671200
2024-05-31,97.33,97.96,96.40,97.84,97.84,7155500
2024-05-30,97.69,97.81,96.59,97.23,97.23,4548800
2024-05-29,97.37,97.70,96.47,97.27,97.27,4679600
2024-05-28,98.43,99.46,98.40,98.67,98.67,5541600
2024-05-24,99.45,99.91,98.81,98.97,98.97,3550500
2024-05-23,100.38,100.56,98.48,98.92,98.92,5594500
2024-05-22,101.28,102.52,100.17,100.74,100.74,5194300
2024-05-21,100.31,103.25,100.15,101.53,101.53,8337100
2024-05-20,100.05,100.89,99.38,100.33,100.33,5690200
2024-05-17,99.90,100.30,99.30,100.22,100.22,4690800
2024-05-16,100.15,100.41,99.45,99.58,99.58,4339300
2024-05-15,100.04,100.98,99.99,100.52,100.52,6938500
2024-05-14,99.00,100.18,98.77,99.38,99.38,6216600
2024-05-13,98.75,98.97,98.42,98.56,98.56,5379000
2024-05-10,98.74,98.99,97.63,98.28,98.28,6118400
2024-05-09,95.59,98.26,95.59,98.11,98.11,6766700
2024-05-08,95.43,96.05,95.10,95.64,95.64,4662600
2024-05-07,94.92,95.93,94.71,95.79,95.79,7418000
2024-05-06,94.56,94.91,93.70,94.79,94.79,5105100
2024-05-03,93.34,94.42,93.28,93.64,93.64,5043500
2024-05-02,92.54,92.92,91.60,92.65,92.65,4449200
2024-05-01,91.28,92.48,90.73,91.54,91.54,4713600
2024-04-30,91.60,91.83,90.55,90.84,90.84,5860000
2024-04-29,91.33,92.81,91.33,92.11,92.11,4416100
2024-04-26,92.50,93.31,92.40,92.83,91.98,4606100
2024-04-25,93.00,93.65,91.65,92.56,91.71,6770600
2024-04-24,93.11,94.07,93.03,93.85,92.99,5100900
2024-04-23,92.16,94.05,92.16,93.76,92.90,6393900
2024-04-22,91.11,92.66,90.71,92.09,91.25,7294400
2024-04-19,90.36,91.62,90.36,90.66,89.83,8134700
2024-04-18,90.66,91.11,89.74,90.26,89.43,6752000
2024-04-17,90.13,91.44,89.67,90.08,89.26,9544600
2024-04-16,90.71,91.10,88.00,89.14,88.32,18291600
2024-04-15,87.80,89.13,85.49,86.99,86.19,9553900
2024-04-12,85.80,86.81,85.12,86.19,85.40,12789000
2024-04-11,91.72,91.80,85.01,86.84,86.04,24631800
2024-04-10,92.27,92.89,91.18,91.65,90.81,5994200
2024-04-09,93.61,94.14,92.83,94.08,93.22,4952400
2024-04-08,93.00,93.40,92.20,93.21,92.36,4601900
2024-04-05,92.25,93.29,91.61,92.47,91.62,4654800
2024-04-04,94.20,94.74,91.86,92.28,91.44,5466100
2024-04-03,92.95,94.30,92.75,93.00,92.15,4821100
2024-04-02,92.90,93.77,92.54,92.71,91.86,5245400
2024-04-01,94.16,94.44,93.17,93.53,92.67,3416000
2024-03-28,93.75,94.73,93.45,94.16,93.30,6707700
2024-03-27,92.03,93.54,91.91,93.50,92.64,6394500
2024-03-26,91.42,91.91,90.94,91.28,90.44,4211900
2024-03-25,91.77,92.55,90.99,91.14,90.31,3670400
2024-03-22,93.52,93.86,91.74,91.95,91.11,5907200
2024-03-21,91.96,94.36,91.96,93.40,92.54,13659900
2024-03-20,88.05,91.48,87.91,91.35,90.51,10811700
2024-03-19,88.00,89.09,87.86,88.42,87.61,8546400
2024-03-18,88.36,88.70,87.70,87.96,87.15,5960000
2024-03-15,88.48,89.35,88.17,88.38,87.57,20361800
2024-03-14,89.00,89.40,88.26,89.10,88.28,9235300
2024-03-13,87.45,90.24,87.25,89.35,88.53,10345800
2024-03-12,87.24,87.76,86.60,87.05,86.25,5110900
2024-03-11,86.82,87.25,85.84,86.94,86.14,4737200
2024-03-08,86.62,88.32,86.42,87.04,86.24,9686500
2024-03-07,86.08,87.12,85.64,86.14,85.35,9145700
2024-03-06,86.77,87.95,84.43,85.66,84.88,25614600
2024-03-05,89.19,91.14,88.62,89.13,88.31,13883600
2024-03-04,87.88,91.24,87.55,90.04,89.22,19876000
2024-03-01,86.22,86.79,85.11,86.48,85.69,5522300
2024-02-29,86.49,86.64,85.35,86.04,85.25,7657100
2024-02-28,85.43,86.09,85.28,86.05,85.26,5624100
2024-02-27,85.97,86.45,85.12,85.49,84.71,8066700
2024-02-26,86.50,87.34,85.56,85.67,84.89,5608100
2024-02-23,86.07,87.25,85.96,86.55,85.76,5810100
2024-02-22,85.95,86.74,85.60,85.85,85.06,6782100
2024-02-21,85.01,85.48,84.53,85.46,84.68,6444900
2024-02-20,85.94,86.49,85.10,85.35,84.57,6626400
2024-02-16,85.52,86.79,85.07,86.50,85.71,9666700
2024-02-15,84.45,86.23,84.41,85.67,84.89,7993500
2024-02-14,84.54,84.96,83.69,84.00,83.23,5973700
2024-02-13,85.86,85.86,83.09,83.97,83.20,11339400
2024-02-12,85.86,87.64,85.64,86.87,86.07,7888000
2024-02-09,85.69,86.03,85.32,85.89,85.10,5664500
2024-02-08,85.68,86.23,85.16,85.65,84.87,6218200
2024-02-07,86.26,86.39,85.27,86.00,85.21,4952200
2024-02-06,85.62,86.55,85.62,86.10,85.31,7335500
2024-02-05,86.58,86.58,85.09,85.89,85.10,7788700
2024-02-02,86.47,87.67,86.00,87.27,86.47,7728600
2024-02-01,87.19,88.17,85.64,86.82,86.03,8365000
2024-01-31,87.71,88.75,87.23,87.24,86.44,8414700
2024-01-30,86.98,88.07,86.77,87.62,86.82,6569300
2024-01-29,87.40,87.95,85.72,87.62,85.98,7440300
2024-01-26,87.88,88.50,87.65,87.73,86.08,6384400
2024-01-25,88.14,88.42,87.33,88.02,86.37,8792400
2024-01-24,87.32,88.30,87.20,87.57,85.93,12480900
2024-01-23,85.67,86.85,85.19,86.74,85.11,8555700
2024-01-22,85.46,86.77,85.44,85.73,84.12,11626500
2024-01-19,83.91,85.59,83.20,85.34,83.74,14770500
2024-01-18,84.83,84.98,83.28,83.90,82.33,15016400
2024-01-17,84.85,85.14,83.90,84.41,82.83,17198500
2024-01-16,86.74,88.16,84.80,85.97,84.36,20369000
2024-01-12,91.28,91.90,89.43,89.70,88.02,8301000
2024-01-11,90.95,90.95,89.54,90.51,88.81,9400700
2024-01-10,91.53,91.97,91.29,91.48,89.76,6929200
2024-01-09,92.75,92.84,91.66,92.06,90.33,7594100
2024-01-08,93.21,93.83,92.28,93.51,91.75,6738400
2024-01-05,92.21,93.93,92.06,93.24,91.49,6027200
2024-01-04,92.15,93.14,91.66,92.15,90.42,8735600
2024-01-03,93.20,93.20,91.27,91.91,90.18,7487900
2024-01-02,92.66,94.15,92.27,93.90,92.14,6132200
2023-12-29,93.49,93.77,93.06,93.25,91.50,4772100
2023-12-28,93.31,93.95,93.24,93.64,91.88,4089500
2023-12-27,92.69,93.69,92.40,93.66,91.90,4073200
2023-12-26,92.61,93.02,92.37,92.84,91.10,2726200
2023-12-22,92.90,93.66,92.23,92.41,90.68,5800800
2023-12-21,92.14,92.66,91.64,92.63,90.89,7748000
2023-12-20,91.46,92.31,90.93,91.14,89.43,10467000
2023-12-19,90.92,92.36,90.70,91.92,90.19,8114900
2023-12-18,91.66,91.67,90.61,90.76,89.06,9145500
2023-12-15,91.00,91.84,90.26,91.58,89.86,16905100
2023-12-14,87.23,92.00,87.21,91.04,89.33,19849500
2023-12-13,83.47,86.11,83.30,85.63,84.02,10144600
2023-12-12,82.94,83.66,82.57,83.60,82.03,7395300
2023-12-11,82.37,82.84,81.96,82.82,81.27,6378100
2023-12-08,80.28,82.66,80.15,82.28,80.74,10342300
2023-12-07,79.76,80.57,79.62,80.35,78.84,5430400
2023-12-06,80.78,81.76,79.33,79.41,77.92,7321800
2023-12-05,80.68,80.84,79.59,80.17,78.67,6103200
2023-12-04,80.15,81.48,80.06,81.21,79.69,6713800
2023-12-01,79.08,80.98,78.74,80.89,79.37,9615800
2023-11-30,78.77,79.48,78.21,79.34,77.85,8480500
2023-11-29,77.48,79.53,77.34,78.55,77.08,7420700
2023-11-28,77.36,77.45,76.33,76.88,75.44,9197900
2023-11-27,78.27,78.35,77.59,77.95,76.49,5237800
2023-11-24,78.26,78.91,78.05,78.65,77.17,2398000
2023-11-22,78.79,78.87,78.21,78.49,77.02,4265400
2023-11-21,79.07,79.34,78.22,78.47,77.00,7394800
2023-11-20,80.03,80.20,79.34,79.70,78.20,7644600
2023-11-17,80.33,80.44,79.94,80.28,78.77,6080700
2023-11-16,79.98,80.28,79.04,79.66,78.16,6757600
2023-11-15,78.57,80.04,78.50,79.68,78.18,9841600
2023-11-14,76.68,78.96,76.67,78.31,76.84,12287700
2023-11-13,74.75,75.52,74.55,75.04,73.63,4868400
2023-11-10,74.66,75.39,74.05,75.33,73.92,8924000
2023-11-09,75.68,76.07,73.96,74.19,72.80,9497200
2023-11-08,75.45,76.19,75.06,75.97,74.54,8075200
2023-11-07,75.86,76.17,74.93,75.51,74.09,7657700
2023-11-06,76.68,76.76,75.36,75.92,74.50,8140300
2023-11-03,74.59,76.68,74.54,76.26,74.83,14949500
2023-11-02,71.68,73.53,71.65,73.46,72.08,11638000
2023-11-01,71.17,71.91,70.70,70.95,69.62,9429000
2023-10-31,70.77,71.02,70.27,70.82,69.49,8949000
2023-10-30,70.05,70.89,69.42,70.59,69.27,9769600
2023-10-27,71.91,72.01,70.19,70.40,68.24,11099100
2023-10-26,71.47,72.69,71.40,72.07,69.86,10903200
2023-10-25,71.25,71.90,71.13,71.40,69.21,8461700
2023-10-24,71.75,72.10,71.08,71.56,69.37,9265500
2023-10-23,72.73,72.87,71.24,71.70,69.50,12847100
2023-10-20,73.12,74.00,72.35,73.13,70.89,11269900
2023-10-19,74.87,76.46,72.89,72.92,70.69,17486100
2023-10-18,76.43,77.07,73.40,74.88,72.59,34732300
2023-10-17,77.99,80.63,77.98,80.33,77.87,12324800
2023-10-16,78.79,79.18,77.87,78.73,76.32,7901500
2023-10-13,78.20,79.23,77.34,77.79,75.41,6442800
2023-10-12,78.87,78.87,77.29,77.81,75.43,11654600
2023-10-11,79.91,80.21,78.71,78.90,76.48,8928700
2023-10-10,80.25,81.11,80.02,80.13,77.68,6245400
2023-10-09,79.60,80.08,78.93,79.91,77.46,5125000
2023-10-06,78.72,80.79,78.40,80.33,77.87,6305600
2023-10-05,78.48,79.54,78.02,79.15,76.73,5589300
2023-10-04,78.10,79.29,77.61,79.09,76.67,6848700
2023-10-03,79.58,79.84,77.83,78.02,75.63,7526800
2023-10-02,81.10,81.47,79.90,80.41,77.95,6722200
2023-09-29,83.01,83.09,81.03,81.67,79.17,6830500
2023-09-28,81.48,82.55,81.45,82.19,79.67,5665400
2023-09-27,82.41,82.61,81.09,81.65,79.15,5708200
2023-09-26,82.08,82.77,81.72,82.17,79.65,5557000
2023-09-25,82.63,83.28,82.30,83.03,80.49,4748800
2023-09-22,85.23,85.23,83.01,83.29,80.74,7420600
2023-09-21,86.34,86.51,84.83,84.88,82.28,6933900
2023-09-20,88.83,89.15,87.06,87.14,84.47,5268200
2023-09-19,88.78,89.47,87.94,88.51,85.80,5769000
2023-09-18,88.57,89.05,87.55,88.71,85.99,5501900
2023-09-15,88.19,88.73,87.94,88.41,85.70,17598400
2023-09-14,88.08,89.11,87.92,89.07,86.34,8109600
2023-09-13,86.15,87.80,86.15,87.25,84.58,10617400
2023-09-12,83.34,86.53,83.23,85.55,82.93,8942600
2023-09-11,85.38,85.67,83.35,83.51,80.95,7780900
2023-09-08,84.15,84.95,83.66,84.92,82.32,6127600
2023-09-07,83.99,84.87,83.78,83.84,81.27,5504200
2023-09-06,84.28,84.75,83.35,84.16,81.58,5384000
2023-09-05,85.84,86.27,84.81,84.84,82.24,4919400
2023-09-01,86.00,86.45,85.29,85.75,83.12,4981800
2023-08-31,85.67,85.67,84.76,85.15,82.54,5581200
2023-08-30,85.62,86.00,85.03,85.26,82.65,5051800
2023-08-29,84.41,85.59,84.32,85.55,82.93,6212300
2023-08-28,83.80,84.87,83.77,84.38,81.80,6439700
2023-08-25,83.69,84.15,82.74,83.22,80.67,5461400
2023-08-24,83.17,84.75,83.10,83.44,80.89,5023000
2023-08-23,83.00,83.72,82.88,83.39,80.84,5878600
2023-08-22,84.71,84.77,82.84,82.98,80.44,6003300
2023-08-21,85.02,85.31,83.66,84.25,81.67,5385300
2023-08-18,84.96,86.30,84.71,84.89,82.29,6648700
2023-08-17,86.60,86.90,85.20,85.79,83.16,7611200
2023-08-16,85.74,86.79,85.59,85.99,83.36,5746300
2023-08-15,86.41,86.47,85.72,86.16,83.52,9308700
2023-08-14,86.96,87.40,86.52,87.33,84.66,3637500
2023-08-11,87.06,88.20,87.02,87.70,85.01,3922300
2023-08-10,87.91,88.93,87.32,87.64,84.96,4250100
2023-08-09,88.47,89.01,87.47,87.56,84.88,5200500
2023-08-08,87.85,88.52,86.26,88.47,85.76,6921200
2023-08-07,89.45,89.71,88.98,89.08,86.35,4663300
2023-08-04,89.35,90.05,88.52,88.79,86.07,6191700
